Anime_id,Title,Genres,Type,Episodes,Score,Rank,Members,Popularity,Season,Studio
238,Rekka no Honoo,"Action,Adventure",TV,42,7.34,#2316,"64,769",#2522,Summer 1997,Pierrot
239,Gankutsuou,"Award Winning,Drama,Mystery,Sci-Fi,Supernatural,Suspense",TV,24,8.14,#417,"239,745",#922,Fall 2004,Gonzo
240,Genshiken,"Comedy,Slice of Life",TV,12,7.63,#1307,"173,560",#1268,Fall 2004,Palm Studio
241,Girls Bravo: First Season,"Comedy,Fantasy,Romance,Ecchi",TV,11,6.38,#6985,"144,526",#1460,Summer 2004,AIC Spirits
242,Gokusen,"Comedy,Drama,Slice of Life",TV,13,7.41,#2028,"44,096",#3090,Winter 2004,Madhouse
243,Gravitation,"Boys Love,Comedy",TV,13,6.93,#4253,"117,061",#1721,Fall 2000,Studio Deen
244,Agatha Christie no Meitantei Poirot to Marple,Mystery,TV,39,6.84,#4646,"7,529",#6757,Summer 2004,OLM
245,Great Teacher Onizuka,Comedy,TV,43,8.69,#56,"783,912",#217,Summer 1999,Pierrot
246,Groove Adventure Rave,"Adventure,Comedy,Fantasy,Romance",TV,51,7.22,#2936,"97,616",#1955,Fall 2001,Studio Deen
247,Harukanaru Toki no Naka de: Hachiyou Shou,"Fantasy,Romance",TV,26,7.00,#4002,"24,114",#4198,Fall 2004,Yumeta Company
248,Ichigo 100%,"Comedy,Romance,Ecchi",TV,12,6.63,#5679,"112,572",#1778,Spring 2005,Madhouse
249,InuYasha,"Action,Adventure,Fantasy,Romance",TV,167,7.86,#793,"761,926",#232,Fall 2000,Sunrise
250,Konjiki no Gash Bell!!,"Adventure,Comedy,Supernatural",TV,150,7.54,#1574,"121,484",#1672,Spring 2003,Toei Animation
251,Kyou kara Maou!,"Adventure,Comedy,Fantasy",TV,78,7.63,#1290,"109,952",#1810,Spring 2004,Studio Deen
252,Madlax,"Drama,Mystery,Supernatural",TV,26,7.02,#3903,"40,478",#3244,Spring 2004,Bee Train
253,Jungle wa Itsumo Hare nochi Guu,"Comedy,Slice of Life",TV,26,7.81,#905,"33,249",#3587,Spring 2001,Shin-Ei Animation
254,Jungle wa Itsumo Hare nochi Guu Deluxe,"Comedy,Slice of Life",OVA,6,7.79,#941,"12,202",#5528,,Shin-Ei Animation
255,Jungle wa Itsumo Hare nochi Guu Final,"Award Winning,Comedy,Slice of Life",OVA,7,7.62,#1327,"9,868",#6039,,Shin-Ei Animation
256,Hoshi no Koe,"Award Winning,Drama,Romance,Sci-Fi",OVA,1,7.12,#3462,"151,451",#1408,,CoMix Wave Films
257,Ikkitousen,Ecchi,TV,13,6.39,#6916,"158,444",#1361,Summer 2003,J.C.Staff
258,Hitsuji no Uta,"Drama,Horror",OVA,4,6.15,#8097,"17,267",#4846,,Madhouse
259,Happy☆Lesson,"Comedy,Romance",OVA,5,6.60,#5830,"11,517",#5670,,Studio Kyuuma
260,Happy☆Lesson (TV),"Comedy,Drama,Romance",TV,13,6.61,#5807,"27,492",#3944,Spring 2002,Studio Hibari
261,Happy☆Lesson Advance,"Comedy,Romance",TV,13,6.77,#4980,"14,719",#5139,Summer 2003,Studio Hibari
262,Happy☆Lesson The Final,"Comedy,Romance",OVA,3,6.76,#5041,"9,381",#6170,,Studio Ranmaru
263,Hajime no Ippo,Sports,TV,75,8.76,#39,"541,655",#369,Fall 2000,Madhouse
264,Hajime no Ippo: Champion Road,Sports,Special,1,8.26,#285,"127,775",#1608,,Madhouse
265,Hajime no Ippo: Mashiba vs. Kimura,Sports,OVA,1,8.23,#314,"102,118",#1899,,Madhouse
266,Gunparade March: Arata Naru Kougunka,"Action,Drama,Romance,Sci-Fi",TV,12,6.73,#5198,"16,166",#4956,Winter 2003,J.C.Staff
267,Gungrave,"Action,Drama,Sci-Fi",TV,26,7.83,#858,"183,317",#1197,Fall 2003,Madhouse
268,Golden Boy,"Adventure,Comedy,Ecchi",OVA,6,8.04,#532,"371,001",#577,,APPP
269,Bleach,"Action,Adventure,Fantasy",TV,366,7.91,#709,"1,845,334",#40,Fall 2004,Pierrot
270,Hellsing,"Action,Horror,Supernatural",TV,13,7.49,#1749,"692,246",#264,Fall 2001,Gonzo
271,Gad Guard,"Action,Adventure,Sci-Fi",TV,26,6.65,#5588,"13,687",#5295,Spring 2003,Gonzo
272,Noir,"Action,Drama,Mystery",TV,26,7.29,#2577,"109,432",#1816,Spring 2001,Bee Train
273,Mahoutsukai ni Taisetsu na Koto,Slice of Life,TV,12,6.71,#5257,"26,278",#4030,Winter 2003,J.C.Staff
274,Kiddy Grade,"Action,Sci-Fi,Ecchi",TV,24,7.19,#3053,"45,036",#3055,Fall 2002,Gonzo
275,Love♥Love?,"Comedy,Romance,Ecchi",TV,9,5.85,#9467,"21,596",#4395,Spring 2004,Imagin
276,Mahoromatic: Automatic Maiden,"Comedy,Romance,Sci-Fi,Ecchi",TV,12,7.15,#3286,"61,456",#2593,Fall 2001,Gainax
277,Mahoromatic: Motto Utsukushii Mono,"Comedy,Drama,Romance,Sci-Fi,Ecchi",TV,14,7.14,#3347,"31,861",#3675,Fall 2002,Gainax
278,Viewtiful Joe,"Action,Comedy,Sci-Fi",TV,51,6.74,#5142,"11,448",#5679,Fall 2004,Group TAC
279,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,"Fantasy,Horror,Mystery,Supernatural",TV,13,7.10,#3508,"36,506",#3451,Fall 2003,TMS Entertainment
280,Animal Yokochou,"Adventure,Comedy,Fantasy",TV,51,7.25,#2766,"3,012",#9424,Fall 2005,Gallop
281,Akane Maniax,"Comedy,Romance",OVA,3,5.73,#9908,"18,702",#4687,,Silver
282,Angel Heart,"Action,Drama,Mystery,Romance",TV,50,7.25,#2764,"17,297",#4839,Fall 2005,TMS Entertainment
283,Akage no Anne,Drama,TV,50,7.77,#964,"30,740",#3745,Winter 1979,Nippon Animation
284,Area 88 (TV),"Action,Drama,Romance",TV,12,6.99,#4009,"13,906",#5255,Winter 2004,Group TAC
285,Argento Soma,"Action,Adventure,Drama,Sci-Fi",TV,25,6.75,#5052,"26,669",#3995,Fall 2000,Sunrise
286,B'T X,"Adventure,Sci-Fi",TV,25,7.02,#3882,"11,580",#5655,Spring 1996,TMS Entertainment
287,Grappler Baki (TV),Sports,TV,24,7.47,#1797,"129,117",#1589,Winter 2001,Group TAC
288,Bakuten Shoot Beyblade,"Action,Adventure,Comedy,Sports",TV,51,6.76,#5028,"108,771",#1827,Winter 2001,Madhouse
289,Comic Party,"Comedy,Drama",TV,13,6.58,#5946,"19,345",#4614,Spring 2001,OLM
290,Seikai no Monshou,"Action,Romance,Sci-Fi",TV,13,7.64,#1267,"50,762",#2871,Winter 1999,Sunrise
291,D.C.S.S: Da Capo Second Season,"Comedy,Drama,Romance,Supernatural",TV,26,6.95,#4183,"33,134",#3594,Summer 2005,feel.
292,Dear Boys,"Drama,Sports",TV,26,6.78,#4922,"21,516",#4400,Spring 2003,A.C.G.T.
293,Di Gi Charat,"Comedy,Fantasy,Sci-Fi",TV,16,6.80,#4840,"23,707",#4228,Fall 1999,Madhouse
294,Divergence Eve,"Adventure,Comedy,Drama,Sci-Fi",TV,13,5.99,#8872,"12,474",#5492,Summer 2003,Radix
295,Divergence Eve 2: Misaki Chronicles,"Adventure,Drama,Sci-Fi",TV,13,6.40,#6883,"7,378",#6800,Winter 2004,Radix
296,Dragon Drive,"Action,Adventure,Comedy,Fantasy,Sci-Fi",TV,38,6.69,#5368,"22,833",#4290,Summer 2002,Madhouse
297,Grenadier: Hohoemi no Senshi,"Action,Adventure,Comedy,Ecchi",TV,12,6.69,#5373,"54,535",#2760,Fall 2004,Group TAC
298,.hack//Tasogare no Udewa Densetsu,"Adventure,Comedy,Fantasy",TV,12,6.56,#6014,"66,440",#2478,Winter 2003,Bee Train
299,.hack//Liminality,Mystery,OVA,4,6.59,#5875,"32,958",#3608,,Bee Train
300,3x3 Eyes,"Action,Fantasy,Horror,Romance",OVA,4,6.72,#5204,"27,176",#3961,,Toei Animation
301,Cinderella Boy,"Action,Adventure,Comedy,Mystery",TV,13,6.29,#7447,"7,370",#6804,Summer 2003,Magic Bus
302,Mirai Shounen Conan,"Adventure,Drama,Sci-Fi",TV,26,8.10,#463,"47,181",#2982,Spring 1978,Nippon Animation
303,Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,"Comedy,Supernatural",TV,48,6.89,#4429,"21,857",#4375,Spring 1998,OLM
304,Aa! Megami-sama! Movie,"Comedy,Romance,Supernatural",Movie,1,7.54,#1587,"42,001",#3182,,AIC
305,Abashiri Ikka,"Action,Comedy",OVA,4,5.28,#11335,"4,558",#8271,,Pierrot
306,Abenobashi Mahou☆Shoutengai,"Award Winning,Comedy,Fantasy,Ecchi",TV,13,7.23,#2844,"86,405",#2117,Spring 2002,Gainax
307,Kerokko Demetan,"Comedy,Fantasy",TV,39,6.03,#8693,"1,380",#11629,Winter 1973,Tatsunoko Production
308,Zettai Shounen,"Drama,Fantasy,Mystery,Sci-Fi",TV,26,6.86,#4596,"19,884",#4565,Spring 2005,Ajia-do
309,Akahori Gedou Hour Rabuge,Comedy,TV,13,6.13,#8216,"5,892",#7439,Summer 2005,Radix
310,"Chiisana Obake: Acchi, Kocchi, Socchi","Comedy,Supernatural",TV,50,5.99,#8869,"1,831",#10879,Spring 1991,Pierrot
311,Ace wo Nerae!,"Drama,Romance,Sports",TV,26,7.10,#3528,"12,602",#5475,Fall 1973,Tokyo Movie Shinsha
312,Ace wo Nerae! Final Stage,"Drama,Sports",OVA,12,6.84,#4645,"2,345",#10112,,Tokyo Movie Shinsha
313,Ace wo Nerae! (1979),"Drama,Romance,Sports",Movie,1,6.91,#4359,"4,220",#8484,,Tokyo Movie Shinsha
314,Ace wo Nerae! 2,"Drama,Sports",OVA,13,7.15,#3301,"3,081",#9361,,TMS Entertainment
315,Xiao Qian,"Action,Drama,Fantasy,Romance",Movie,1,6.33,#7221,"3,108",#9326,,Triangle Staff
316,Nageki no Kenkou Yuuryouji,"Comedy,Girls Love,Hentai",OVA,3,6.15,N/A,"5,650",#7559,,AIC
317,Final Fantasy VII: Advent Children,"Action,Fantasy",Movie,1,7.72,#1097,"209,334",#1064,,Square Enix Visual Works
318,Hand Maid May,"Comedy,Romance,Sci-Fi,Ecchi",TV,10,6.69,#5374,"29,202",#3843,Summer 2000,TNK
319,Happy World!,"Comedy,Fantasy,Romance,Ecchi",OVA,3,5.96,#9009,"6,182",#7303,,Zexcs
320,A Kite,"Action,Drama,Hentai",OVA,2,6.54,N/A,"66,270",#2482,,Arms
321,Najica Dengeki Sakusen,"Action,Comedy,Sci-Fi,Ecchi",TV,12,5.97,#8960,"14,713",#5140,Fall 2001,Studio Fantasia
322,Paradise Kiss,"Drama,Romance",TV,12,7.85,#812,"212,542",#1053,Fall 2005,Madhouse
323,Mousou Dairinin,"Avant Garde,Drama,Mystery,Supernatural,Suspense",TV,13,7.67,#1194,"394,074",#539,Winter 2004,Madhouse
324,Kidou Keisatsu Patlabor: On Television,"Comedy,Sci-Fi",TV,47,7.67,#1190,"36,279",#3459,Fall 1989,Sunrise
325,Peach Girl,"Drama,Romance",TV,25,6.94,#4218,"99,650",#1929,Winter 2005,Studio Comet
326,Petshop of Horrors,"Horror,Mystery,Supernatural",TV,4,7.24,#2807,"64,819",#2520,Winter 1999,Madhouse
327,Puchi Pri*Yucie,"Comedy,Fantasy",TV,26,7.44,#1933,"14,615",#5156,Fall 2002,Gainax
328,Piano (TV),"Drama,Romance,Slice of Life",TV,10,5.98,#8913,"8,732",#6349,Fall 2002,OLM
329,Planetes,"Award Winning,Drama,Romance,Sci-Fi",TV,26,8.26,#281,"242,299",#917,Fall 2003,Sunrise
330,Midori no Hibi,"Comedy,Drama,Romance,Ecchi",TV,13,7.23,#2888,"162,491",#1336,Spring 2004,Pierrot
331,Mahoujin Guruguru,"Adventure,Comedy,Fantasy",TV,45,7.61,#1349,"10,551",#5876,Fall 1994,Nippon Animation
332,Dokidoki♡Densetsu: Mahoujin Guruguru,"Adventure,Comedy,Fantasy",TV,38,7.10,#3544,"3,995",#8626,Spring 2000,Nippon Animation
333,Mama wa Shougaku 4 Nensei,"Award Winning,Comedy,Drama,Sci-Fi",TV,51,7.41,#2053,"6,411",#7195,Winter 1992,Sunrise
334,Marmalade Boy,"Comedy,Drama,Romance",TV,76,7.44,#1930,"53,487",#2785,Spring 1994,Toei Animation
335,Matantei Loki Ragnarok,"Comedy,Mystery,Supernatural",TV,26,7.26,#2736,"37,856",#3370,Spring 2003,Studio Deen
336,Ginyuu Mokushiroku Meine Liebe,Fantasy,TV,13,6.43,#6747,"12,741",#5447,Fall 2004,Bee Train
337,Psychic Academy,"Comedy,Romance,Supernatural",TV,24,6.19,#7920,"11,273",#5718,Spring 2002,E&G Films
338,Versailles no Bara,"Drama,Romance",TV,40,8.33,#226,"91,662",#2031,Fall 1979,Tokyo Movie Shinsha
339,Serial Experiments Lain,"Avant Garde,Award Winning,Drama,Mystery,Sci-Fi,Supernatural",TV,13,8.08,#486,"712,825",#249,Summer 1998,Triangle Staff
340,Mutsu Enmei Ryuu Gaiden: Shura no Toki,Action,TV,26,7.55,#1530,"23,821",#4219,Spring 2004,Studio Comet
341,Spiral: Suiri no Kizuna,"Drama,Mystery",TV,25,7.22,#2913,"51,541",#2850,Fall 2002,J.C.Staff
342,Starship Operators,"Drama,Sci-Fi",TV,13,6.99,#4042,"15,300",#5057,Winter 2005,J.C.Staff
343,Tsukuyomi: Moon Phase,"Comedy,Fantasy,Romance",TV,25,6.94,#4200,"74,244",#2316,Fall 2004,Shaft
344,Futatsu no Spica,"Drama,Sci-Fi,Supernatural",TV,20,7.37,#2205,"10,252",#5945,Fall 2003,Group TAC
345,Eikoku Koi Monogatari Emma,"Drama,Romance",TV,12,7.62,#1319,"55,427",#2740,Spring 2005,Pierrot
346,W: Wish,"Drama,Romance,Slice of Life",TV,13,6.14,#8182,"15,269",#5059,Fall 2004,Trinet Entertainment
347,Wild Arms: Twilight Venom,"Action,Adventure,Fantasy,Sci-Fi",TV,22,6.67,#5458,"7,962",#6611,Fall 1999,Bee Train
348,Binzume Yousei,"Comedy,Fantasy",TV,13,6.43,#6735,"18,698",#4688,Fall 2003,Xebec
349,Magical Canan,"Drama,Fantasy,Supernatural",TV,13,6.17,#8004,"5,621",#7577,Winter 2005,AIC ASTA
350,Ojamajo Doremi,Comedy,TV,51,7.29,#2578,"52,060",#2839,Winter 1999,Toei Animation
351,Ojamajo Doremi Sharp,Comedy,TV,49,7.42,#1991,"20,546",#4499,Winter 2000,Toei Animation
352,Motto! Ojamajo Doremi,"Comedy,Fantasy",TV,50,7.44,#1931,"20,357",#4517,Winter 2001,Toei Animation
